"municipio","low_cost","mean(precio_gasoleo_a, na.rm = TRUE)","mean(precio_gasolina_95_e5_premium, na.rm = TRUE)","max(precio_gasoleo_a, na.rm = TRUE)","max(precio_gasolina_95_e5_premium, na.rm = TRUE)","min(precio_gasoleo_a, na.rm = TRUE)","min(precio_gasolina_95_e5_premium, na.rm = TRUE)"
"Alcàsser",FALSE,1.304,NA,1.309,-Inf,1.299,Inf
"Alcàsser",TRUE,1.354,NA,1.374,-Inf,1.334,Inf
"Alcaudete",FALSE,1.222,NA,1.222,-Inf,1.222,Inf
"Alcaudete",TRUE,1.4115,NA,1.429,-Inf,1.389,Inf
"Alcázar de San Juan",FALSE,1.314,NA,1.369,-Inf,1.279,Inf
"Alcázar de San Juan",TRUE,1.398,1.563,1.419,1.563,1.375,1.563
"Alcazarén",TRUE,1.297,NA,1.297,-Inf,1.297,Inf
"Alcázares (Los)",FALSE,1.329,NA,1.379,-Inf,1.239,Inf
"Alcázares (Los)",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Alcobendas",FALSE,1.37233333333333,NA,1.439,-Inf,1.309,Inf
"Alcobendas",TRUE,1.44283333333333,1.6315,1.469,1.644,1.399,1.619
"Alcolea de Calatrava",FALSE,1.369,NA,1.369,-Inf,1.369,Inf
"Alcolea de Tajo",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Alcolea de Tajo",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Alcolea del Pinar",TRUE,1.424,NA,1.429,-Inf,1.419,Inf
"Alcolea del Río",FALSE,1.339,NA,1.339,-Inf,1.339,Inf
"Alcoletge",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Alcoletge",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Alconchel",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Alcora (l')",FALSE,1.349,NA,1.369,-Inf,1.309,Inf
"Alcora (l')",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Alcorcón",FALSE,1.37847368421053,1.618,1.429,1.618,1.299,1.618
"Alcorcón",TRUE,1.418,1.609,1.449,1.609,1.369,1.609
"Alcorisa",FALSE,1.329,NA,1.329,-Inf,1.329,Inf
"Alcorisa",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Alcover",FALSE,1.2885,NA,1.308,-Inf,1.269,Inf
"Alcoy/Alcoi",FALSE,1.32525,NA,1.389,-Inf,1.284,Inf
"Alcoy/Alcoi",TRUE,1.379,1.559,1.389,1.559,1.359,1.559
"Alcubierre",FALSE,1.249,NA,1.249,-Inf,1.249,Inf
"Alcubillas",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Alcublas",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Alcúdia",TRUE,1.4365,1.6535,1.439,1.678,1.429,1.629
"Alcúdia (l')",FALSE,1.28733333333333,NA,1.299,-Inf,1.269,Inf
"Alcúdia de Crespins (l')",FALSE,1.289,NA,1.289,-Inf,1.289,Inf
"Alcúdia de Crespins (l')",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Alcuéscar",FALSE,1.349,NA,1.349,-Inf,1.349,Inf
"Alcuéscar",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Aldaia",FALSE,1.2644,NA,1.379,-Inf,1.197,Inf
"Aldaia",TRUE,1.33866666666667,1.569,1.389,1.569,1.258,1.569
"Aldea (L')",FALSE,1.489,NA,1.489,-Inf,1.489,Inf
"Aldea (L')",TRUE,1.429,NA,1.429,-Inf,1.429,Inf
"Aldea de San Nicolás (La)",FALSE,1.094,NA,1.094,-Inf,1.094,Inf
"Aldea del Cano",FALSE,1.419,NA,1.419,-Inf,1.419,Inf
"Aldea del Fresno",TRUE,1.425,1.608,1.425,1.608,1.425,1.608
"Aldea del Rey",FALSE,1.2845,NA,1.299,-Inf,1.27,Inf
"Aldeamayor de San Martín",FALSE,1.348,NA,1.399,-Inf,1.297,Inf
"Aldeanueva de Ebro",FALSE,1.309,NA,1.309,-Inf,1.309,Inf
"Aldeanueva de Figueroa",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Aldeanueva del Camino",TRUE,1.414,NA,1.429,-Inf,1.399,Inf
"Aldeaseca",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Aldeatejada",FALSE,1.399,NA,1.399,-Inf,1.399,Inf
"Aldehuela de la Bóveda",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Aledo",FALSE,1.36,NA,1.36,-Inf,1.36,Inf
"Alegría-Dulantzi",FALSE,1.419,NA,1.439,-Inf,1.399,Inf
"Alella",FALSE,1.389,NA,1.429,-Inf,1.349,Inf
"Alfacar",FALSE,1.327,NA,1.327,-Inf,1.327,Inf
"Alfacar",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Alfafar",FALSE,1.27275,NA,1.359,-Inf,1.239,Inf
"Alfafar",TRUE,1.373,NA,1.379,-Inf,1.359,Inf
"Alfajarín",FALSE,1.289,NA,1.289,-Inf,1.289,Inf
"Alfajarín",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Alfambra",FALSE,1.369,NA,1.369,-Inf,1.369,Inf
"Alfamén",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Alfara del Patriarca",FALSE,1.289,NA,1.289,-Inf,1.289,Inf
"Alfarnate",FALSE,1.313,NA,1.313,-Inf,1.313,Inf
"Alfaro",FALSE,1.35766666666667,NA,1.409,-Inf,1.255,Inf
"Alfarp",FALSE,1.309,NA,1.309,-Inf,1.309,Inf
"Alfarràs",FALSE,1.389,NA,1.389,-Inf,1.389,Inf
"Alfàs del Pi (l')",FALSE,1.303,NA,1.419,-Inf,1.245,Inf
"Alfàs del Pi (l')",TRUE,1.399,NA,1.419,-Inf,1.379,Inf
"Alfés",TRUE,1.42566666666667,NA,1.439,-Inf,1.399,Inf
"Alforja",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Alfoz",TRUE,1.439,NA,1.439,-Inf,1.439,Inf
"Alfoz de Lloredo",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Algaba (La)",FALSE,1.309,NA,1.309,-Inf,1.309,Inf
"Algaba (La)",TRUE,1.409,1.589,1.409,1.589,1.409,1.589
"Algaida",TRUE,1.459,NA,1.459,-Inf,1.459,Inf
"Algámitas",FALSE,1.27,NA,1.27,-Inf,1.27,Inf
"Algar",FALSE,1.359,NA,1.359,-Inf,1.359,Inf
"Algarinejo",FALSE,1.349,NA,1.349,-Inf,1.349,Inf
"Algarrobo",FALSE,1.285,NA,1.285,-Inf,1.285,Inf
"Algarrobo",TRUE,1.41233333333333,NA,1.419,-Inf,1.399,Inf
"Algeciras",FALSE,1.29255555555556,NA,1.379,-Inf,1.197,Inf
"Algeciras",TRUE,1.3766,1.569,1.399,1.569,1.349,1.569
"Algemesí",FALSE,1.323,NA,1.369,-Inf,1.287,Inf
"Algemesí",TRUE,1.359,NA,1.359,-Inf,1.359,Inf
"Algerri",FALSE,1.349,NA,1.349,-Inf,1.349,Inf
"Algete",FALSE,1.369,NA,1.409,-Inf,1.329,Inf
"Algete",TRUE,1.38233333333333,NA,1.399,-Inf,1.349,Inf
"Algimia de Alfara",FALSE,1.28,NA,1.28,-Inf,1.28,Inf
"Alginet",FALSE,1.291,NA,1.318,-Inf,1.269,Inf
"Algodonales",FALSE,1.276,NA,1.276,-Inf,1.276,Inf
"Algodonales",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Algora",TRUE,1.419,NA,1.419,-Inf,1.419,Inf
"Algorfa",TRUE,1.405,NA,1.405,-Inf,1.405,Inf
"Alguaire",FALSE,NA,NA,-Inf,-Inf,Inf,Inf
"Alguaire",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Algueña",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Alhama de Almería",TRUE,1.379,NA,1.379,-Inf,1.379,Inf
"Alhama de Granada",FALSE,1.24,NA,1.24,-Inf,1.24,Inf
"Alhama de Granada",TRUE,1.379,1.559,1.389,1.559,1.369,1.559
"Alhama de Murcia",FALSE,1.30233333333333,NA,1.349,-Inf,1.279,Inf
"Alhama de Murcia",TRUE,1.3865,NA,1.399,-Inf,1.369,Inf
"Alhaurín de la Torre",FALSE,1.34525,NA,1.409,-Inf,1.287,Inf
"Alhaurín de la Torre",TRUE,1.367,NA,1.367,-Inf,1.367,Inf
"Alhaurín el Grande",FALSE,1.38233333333333,NA,1.409,-Inf,1.329,Inf
"Alhaurín el Grande",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Alhendín",FALSE,1.378,NA,1.378,-Inf,1.378,Inf
"Alhendín",TRUE,1.359,NA,1.359,-Inf,1.359,Inf
"Aliaga",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Aliaguilla",FALSE,1.309,NA,1.309,-Inf,1.309,Inf
"Alicante/Alacant",FALSE,1.33059090909091,1.579,1.399,1.579,1.175,1.579
"Alicante/Alacant",TRUE,1.38425,1.6105,1.399,1.648,1.369,1.578
"Aliseda",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Aljaraque",FALSE,1.33,NA,1.339,-Inf,1.324,Inf
"Allariz",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Aller",TRUE,1.41566666666667,NA,1.419,-Inf,1.409,Inf
"Allo",FALSE,1.299,NA,1.299,-Inf,1.299,Inf
"Almacelles",FALSE,1.22,NA,1.22,-Inf,1.22,Inf
"Almacelles",TRUE,1.409,NA,1.409,-Inf,1.409,Inf
"Almadén",FALSE,1.379,NA,1.379,-Inf,1.379,Inf
"Almadén",TRUE,1.389,NA,1.389,-Inf,1.389,Inf
"Almadén de la Plata",TRUE,1.369,NA,1.369,-Inf,1.369,Inf
"Almadrones",TRUE,1.389,1.574,1.389,1.574,1.389,1.574
"Almagro",FALSE,1.349,NA,1.349,-Inf,1.349,Inf
"Almagro",TRUE,1.399,NA,1.399,-Inf,1.399,Inf
"Almansa",FALSE,1.31233333333333,NA,1.319,-Inf,1.309,Inf
"Almansa",TRUE,1.39366666666667,1.5605,1.419,1.563,1.369,1.558
